,subject,name,review,time,location,sentiments
2809,,,"Thank you for your kind review and recommendation, DeepthiAbraham. 

I am delighted to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accomodation as well as your time spent at the Sands SkyPark infinity pool and The Shoppes. 

I am...More",,,Positive
2810,,,We had a nice time in this place. The qeue for registration was fast. We got a room at the 28th floor with the city view and it was amazing especially at night. Staffs were efficient.We Ordered for in-house breakfast to our room and in...More,,,Positive
2811,,,"Dear EngineerMD,

Thank you for sharing your review on TripAdvisor.

I am happy to read that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your city view room and your dining experiences on property. 

Please also allow me to assure you that...More",,,Positive
2812,,,"Even though the staff are friendly and helpful, the food is absolutely lip smacking and the rooms are clean; the star of the hotel has to be the infinity pool. You can see all of Singapore's business district. The best time to be up there...More",,,Positive
2813,,,"Dear Z_Bran,

Thank you for your kind review and recommendation.

I am pleased to note that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation, your dining experiences on property, as well as your time spent at the Sands SkyPark infinity...More",,,Positive
2814,,,"Worth to try ... but just once ... great service, but you feel the mass production there ... hundreads of people everywhere around all the time ... very very crowded

Swimming pool at the roof is outstanding experience, especially in the evening when you can...More",,,Positive
2815,,,"Dear smu_prg,

Thank you for sharing your review on TripAdvisor. 

I am pleased to note that you enjoyed your time at the Sands SkyPark infinity pool and that our Team Members consistently provided you with excellent service during your stay at Marina Bay Sands. 

Please...More",,,Positive
2816,,,"If you're the kind of person who likes the flash, trash & busyness of Las Vegas hotels and you don't care about customer service, you may well like it here. However if, like me, you prefer a more refined experience and a semblance of customer...More",,,Positive
2817,,,"Dear hs1972,

Thank you for sharing your valued feedback with us. 

I am disappointed to read about the service challenges that you encountered during your stay with us. Please rest assured that service is a top priority for us, and that I have shared your...More",,,Negative
2818,,,"Amazing place to visit!!! It was like my dream house. When I was younger, I use to come here all the time. I heard that the Sands Hotel in Macau was better though.My favourite part of the Sands hotel in Singapore was the swimming pool....More",,,Positive
2819,,,"Dear Elan T,

Thank you for your kind review and for your continued patronage of Marina Bay Sands

I am glad to read that you enjoyed your most recent stay with us, particularly enjoying your time spent at the Sands SkyPark infinity pool. I certainly...More",,,Positive
2820,,,"We stayed in the MBS for 2 nights - Premium View Room in the 24th floor with view to downtown. We booked the hotel direct via the hotel website without any problems. The Check-In was quick and easy, no queue to wait. The room was...More",,,Positive
2821,,,"Dear Traveller_mucnue,

Thank you for your kind review.

I am glad to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accommodation and your time spent at the Sands SkyPark Observation Deck and infinity pool.

I certainly look forward to...More",,,Positive
2822,,,"The hotel is very nice, rooms are good with a wonderful view to the skyline. From the airport we take a taxi for S$ 18,-. The check-in was perfect because we did a pre-check-in and due this reason we had a quick check-in at tower...More",,,Positive
2823,,,"Dear faelbs,

Thank you for your positive review.

I am delighted to read that you enjoyed your stay at Marina Bay Sands, especially enjoying your city view accommodation, your breakfast on property, as well as your time spent at the Sands SkyPark infinity pool.

I...More",,,Positive
2824,,,"We loved everything of the stay and our family trip. 
The infinity pool is Spectacular. The food and customer service were excellent. It is located at Bayfront MRT and very convenient. Thank you for the recommendation: The Light Cove Photography. We registered for an outdoor...More",,,Positive
2825,,,"Dear LauraMic413,

Thank you for your delightful review.

I am pleased to read that you and your family enjoyed your stay at Marina Bay Sands, especially enjoying your dining experiences on property and your time spent at the Sands SkyPark infinity pool.

I am also...More",,,Positive
2826,,,"I was in Singapore on business and decided to stay next to the convention centre. Great location and good for the conference. 
The gym is good and the view outstanding. My first impression was good and the reception member of staff made me feel very...More",,,Positive
2827,,,"Dear Kirsty M, 

Thank you for taking the time to share your valuable feedback on TripAdvisor. 

I regret to learn about the challenges that you encountered during your stay. Please allow me to assure you that it is never our intention to cause our guests...More",,,Neutral
2828,,,"The room has city view and spacious bathroom with full amenities.
The gym and infinity pool are excellent. The service is professional and reliable.
This hotel perfect for family, couple and business purpose.
High price but really worth the price.More",,,Positive
2829,,,"Dear Mirah T,

Thank you for your kind review and recommendation.

I am pleased to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your city view room, your time spent at Banyan Tree Fitness Club, as well as your time spent...More",,,Positive
